Model.Year,Eng.Displacement,No.Cylinders,Aspiration,No.Gears,Lockup.Torque.Converter,Drive.Sys,Max.Ethanol,Fuel.Type,Comb.FE
2020,1.8,4,TC,6,Y,R,10,GP,12.660032
2020,5.2,10,N,7,N,A,15,GPR,7.234304
2020,5.2,10,N,7,N,A,15,GPR,7.234304
2020,3,6,TC,8,Y,R,10,GP,11.755744
2020,3.9,8,TC,7,N,R,10,GPR,7.686448
2020,6.5,12,N,7,N,R,10,GPR,5.877872
2020,1.4,4,TC,6,Y,R,10,GP,13.112176
2020,5,8,SC,8,Y,A,15,GP,8.138592
2020,2,4,TC,8,Y,R,15,GP,11.755744
2020,3,6,SC,8,Y,R,15,GP,9.947168
2020,5.2,10,N,7,Y,A,15,GPR,6.78216
2020,4,8,TC,7,Y,R,10,GPR,8.138592
2020,3,6,TC,9,Y,R,10,GPR,9.947168
2020,3.7,6,N,7,Y,R,10,GPR,9.947168
2020,3.7,6,N,6,N,R,10,GPR,9.04288
2020,5.2,12,TC,8,Y,R,10,GP,8.138592
2020,3.9,8,TC,7,N,R,10,GPR,8.138592
2020,3.5,6,SC,6,Y,R,10,GP,9.04288
2020,1.5,3,TC,7,N,F,10,GP,14.016464
2020,2,4,N,6,N,R,10,GPR,10.851456
2020,2,4,N,6,Y,R,10,GPR,12.207888
2020,2,4,N,6,N,R,10,GPR,10.851456
2020,2,4,TC,6,N,R,10,GP,11.3036
2020,2,4,TC,8,Y,A,10,GP,10.851456
2020,2,4,TC,8,Y,R,10,GP,12.207888
2020,3,6,TC,8,Y,R,10,GP,10.851456
2020,3,6,TC,8,Y,A,10,GP,10.399312
2020,3,6,TC,8,Y,A,10,GP,10.399312
2020,3,6,TC,6,N,R,10,GPR,9.04288
2020,3,6,TC,8,Y,R,10,GP,11.3036
2020,3,6,TC,6,N,R,10,GP,9.947168
2020,3,6,TC,8,Y,R,10,GP,11.3036
2020,3,6,TC,8,Y,R,10,GP,11.3036
2020,3,6,TC,6,N,R,10,GP,9.947168
2020,3,6,TC,8,Y,A,10,GP,11.3036
2020,3,6,TC,8,Y,A,10,GP,11.3036
2020,3,6,TC,7,N,R,10,GP,8.590736
2020,3,6,TC,6,N,R,10,GPR,9.04288
2020,2,4,TC,8,Y,R,10,GPR,11.3036
2020,6.2,8,N,10,Y,R,10,GPR,9.04288
2020,6.2,8,N,6,N,R,10,GPR,8.590736
2020,1.4,4,N,1,N,F,10,G,14.920752
2020,1.4,4,N,5,N,F,10,G,14.920752
2020,1.4,4,N,1,N,F,10,G,14.920752
2020,5,8,N,10,Y,R,15,G,8.590736
2020,5,8,N,6,N,R,15,G,8.138592
2020,2.3,4,TC,10,Y,R,15,G,10.399312
2020,2.3,4,TC,10,Y,R,15,G,10.399312
2020,2.3,4,TC,6,N,R,15,G,10.399312
2020,5,8,N,8,Y,R,15,GPR,8.590736
2020,3,6,OT,9,Y,4,10,GPR,10.399312
2020,2,4,TC,9,Y,R,10,GPR,11.3036
2020,2,4,TC,9,Y,4,10,GPR,11.3036
2020,3,6,TC,9,Y,R,10,GPR,10.399312
2020,3,6,TC,9,Y,4,10,GPR,9.947168
2020,2,4,TC,7,N,F,10,GP,13.56432
2020,2,4,TC,7,N,F,10,GP,13.56432
2020,2,4,TC,8,Y,F,10,GP,13.112176
2020,2.4,4,N,8,Y,F,10,GP,12.207888
2020,3.5,6,N,9,Y,F,10,GP,10.851456
2020,2.4,4,N,8,Y,F,10,GP,11.755744
2020,3.5,6,N,9,Y,F,10,GP,10.399312
2020,2,4,TC,8,Y,R,10,GP,12.207888
2020,2,4,TC,8,Y,R,10,GP,12.207888
2020,2,4,TC,8,Y,A,10,GP,10.851456
2020,3,6,TC,6,N,R,10,GP,9.947168
2020,3,6,TC,6,N,A,10,GP,9.495024
2020,3,6,TC,8,Y,R,10,GP,11.3036
2020,3,6,TC,8,Y,A,10,GP,11.3036
2020,3,6,TC,6,N,R,10,GPR,9.04288
2020,1.4,4,TC,6,Y,F,10,G,13.112176
2020,2,4,TC,8,Y,A,15,GP,10.399312
2020,3.3,6,TC,8,Y,A,15,GP,9.04288
2020,1.6,4,N,1,Y,F,15,G,16.277184
2020,1.6,4,N,6,N,F,15,G,14.920752
2020,1.6,4,TC,7,N,F,15,G,13.56432
2020,1.6,4,TC,6,N,F,15,G,13.112176
2020,2,4,N,6,Y,F,15,G,13.56432
2020,2,4,TC,6,N,F,15,G,11.3036
2020,2,4,TC,8,Y,R,15,GP,12.660032
