"MZ","intensity"
3001.04476,-1.1484
3015.6406,1.1392
3020.674,0.1419
3026.566,2.0121
3033.966,0.18077
3050.456,0.84613
3061.78,-0.37739
3063.982,0.040161
3074.47,-0.37811
3085.304,0.88858
3092.702,1.6282
3096.894,0.1188
3099.066,0.94644
3102.664,0.1999
3104.156,0.68758
3107.508,1.5686
3108.478,0.70944
3113.41,-0.20787
3118.806,-0.054836
3123.182,0.50249
3124.09,0.48662
3126.81,-0.047982
3142.906,0.81741
3145.77,1.6912
3154.694,0.49292
3161.724,0.54284
3164.142,-1.0504
3166.966,0.096365
3172.47,-0.38864
3173.334,0.41857
3177.054,1.1548
3179.784,1.958
3182.998,2.1841
3184.704,0.65489
3186.742,0.49599
3197.188,1.4255
3200.44,1.1697
3201.22,1.3912
3203.34,1.4056
3208.02,-0.3925
3209.62,1.227
3209.7,0.72164
3211.42,0.18992
3217.64,0.25495
3218.3,1.8363
3219.52,0.16557
3220.7,-0.17383
3224.56,0.99468
3234.98,2.4513
3236.32,0.86568
3241.72,1.1022
3246.16,0.11347
3247.86,2.2067
3250.66,0.97267
3253,1.3012
3255.78,0.12084
3260.3,1.5744
3264.16,1.21
3267.86,-0.019017
3268.24,0.93832
3268.6,0.54674
3284.06,1.0251
3284.08,0.73732
3293.02,0.80585
3303.7,0.16781
3332.4,1.5972
3332.92,2.5171
3336.5,3.7023
3340.86,2.0637
3351.34,7.7693
3354.22,8.2593
3355.2,7.6188
3356.24,7.7298
3368.38,14.889
3368.86,16.464
3374.92,19.853
3378.14,22.528
3385.02,28.51
3392.5,32.005
3393.32,32.66
3410.98,30.566
3411.34,29.656
3411.96,29.246
3412.06,30.237
3416.92,26.043
3417.9,26.855
3418.82,25.885
3424.06,21.533
3425.2,20.426
3435.12,13.443
3455.68,6.8749
3457.9,3.4962
3469.66,0.96261
3474.74,3.5352
3484.98,2.4611
3493.46,1.658
3502.08,4.6104
3515.58,3.7175
3532.36,4.8135
3540.58,4.7113
3545.88,4.9918
3563.74,6.1458
3575.7,8.1947
3575.96,7.7084
3583.14,9.5086
3587.94,8.9547
3588.14,10.631
3591.06,10.523
3594.7,9.532
3596.48,9.2019
3599.88,10.373
3602.62,8.5269
3614.74,9.6687
3626.86,7.8745
3631.62,7.7201
3632.86,7.4009
3634.96,8.2203
3657.62,5.0165
3661.66,4.4152
3664.18,5.4806
3665.88,4.5506
3671.7,4.6872
3675.16,3.8426
3676.2,4.2616
3695.76,0.78479
3719.26,2.4116
3724.82,3.4144
3732.88,2.6465
3735.3,2.5162
3738.4,1.565
3776.54,1.7545
3792.02,1.796
3793.04,1.6774
3793.6,0.93569
3797.18,1.3173
