class,cap-shape,cap-surface,cap-color,odor,population,habitat
poisonous,convex,smooth,brown,pungent,scattered,urban
edible,convex,smooth,yellow,almond,numerous,grasses
edible,bell,smooth,white,anise,numerous,meadows
poisonous,convex,scaly,white,pungent,scattered,urban
edible,convex,smooth,gray,none,abundant,grasses
edible,convex,scaly,yellow,almond,numerous,grasses
edible,bell,smooth,white,almond,numerous,meadows
edible,bell,scaly,white,anise,scattered,meadows
poisonous,convex,scaly,white,pungent,several,grasses
edible,bell,smooth,yellow,almond,scattered,meadows
edible,convex,scaly,yellow,anise,numerous,grasses
edible,convex,scaly,yellow,almond,scattered,meadows
edible,bell,smooth,yellow,almond,scattered,grasses
poisonous,convex,scaly,white,pungent,several,urban
edible,convex,fibrous,brown,none,abundant,grasses
edible,sunken,fibrous,gray,none,soletary,urban
edible,flat,fibrous,white,none,abundant,grasses
poisonous,convex,smooth,brown,pungent,scattered,grasses
poisonous,convex,scaly,white,pungent,scattered,urban
poisonous,convex,smooth,brown,pungent,scattered,urban
edible,bell,smooth,yellow,almond,scattered,meadows
poisonous,convex,scaly,brown,pungent,several,grasses
edible,bell,scaly,yellow,anise,scattered,meadows
edible,bell,scaly,white,almond,numerous,meadows
edible,bell,smooth,white,anise,scattered,meadows
poisonous,flat,smooth,white,pungent,several,grasses
edible,convex,scaly,yellow,almond,numerous,meadows
edible,convex,scaly,white,anise,numerous,meadows
edible,flat,fibrous,brown,none,soletary,urban
edible,convex,smooth,yellow,almond,several,woods
edible,bell,smooth,yellow,anise,numerous,meadows
poisonous,convex,scaly,white,pungent,scattered,urban
edible,convex,scaly,yellow,anise,numerous,meadows
edible,convex,scaly,brown,anise,soletary,paths
edible,bell,scaly,yellow,anise,scattered,meadows
edible,convex,fibrous,yellow,anise,several,woods
edible,sunken,fibrous,gray,none,several,urban
poisonous,convex,scaly,brown,pungent,scattered,urban
edible,convex,fibrous,yellow,almond,several,woods
edible,bell,smooth,yellow,anise,scattered,meadows
edible,bell,scaly,yellow,almond,scattered,grasses
edible,convex,scaly,yellow,anise,soletary,paths
edible,convex,fibrous,brown,none,soletary,urban
poisonous,convex,scaly,white,pungent,several,grasses
edible,convex,smooth,yellow,almond,numerous,meadows
edible,convex,scaly,white,almond,numerous,grasses
edible,convex,scaly,yellow,anise,scattered,meadows
edible,convex,smooth,white,anise,numerous,meadows
edible,convex,scaly,yellow,anise,scattered,paths
edible,flat,scaly,yellow,anise,scattered,paths
edible,convex,scaly,brown,almond,scattered,grasses
edible,convex,smooth,white,anise,scattered,grasses
edible,bell,smooth,white,anise,numerous,meadows
poisonous,convex,scaly,brown,pungent,several,urban
poisonous,convex,smooth,white,pungent,several,urban
edible,bell,scaly,yellow,almond,scattered,meadows
edible,flat,fibrous,gray,none,abundant,grasses
edible,bell,smooth,white,almond,numerous,grasses
edible,convex,smooth,yellow,anise,numerous,grasses
edible,convex,scaly,brown,almond,soletary,paths
edible,sunken,fibrous,gray,none,several,urban
edible,bell,scaly,yellow,almond,scattered,meadows
edible,bell,smooth,yellow,anise,scattered,meadows
edible,bell,scaly,yellow,anise,numerous,meadows
edible,bell,scaly,white,anise,scattered,grasses
edible,flat,smooth,brown,none,abundant,grasses
edible,convex,smooth,white,anise,scattered,grasses
edible,flat,scaly,yellow,almond,scattered,grasses
edible,convex,scaly,yellow,almond,numerous,grasses
edible,convex,fibrous,gray,none,several,urban
edible,flat,fibrous,yellow,anise,several,woods
edible,bell,scaly,white,anise,scattered,meadows
edible,flat,fibrous,yellow,anise,several,woods
edible,convex,scaly,brown,almond,scattered,paths
edible,bell,smooth,yellow,almond,scattered,grasses
edible,flat,smooth,yellow,anise,several,woods
edible,convex,smooth,white,anise,several,woods
edible,flat,scaly,brown,anise,soletary,paths
poisonous,convex,scaly,brown,pungent,several,urban
edible,flat,scaly,brown,almond,soletary,grasses
edible,convex,smooth,brown,none,scattered,grasses
poisonous,convex,scaly,white,pungent,scattered,grasses
edible,flat,fibrous,gray,none,soletary,urban
edible,convex,fibrous,gray,none,scattered,grasses
edible,convex,scaly,yellow,anise,scattered,grasses
edible,convex,smooth,brown,none,scattered,grasses
edible,bell,smooth,white,almond,scattered,grasses
edible,convex,smooth,white,anise,scattered,grasses
edible,flat,scaly,brown,anise,soletary,grasses
edible,sunken,fibrous,brown,none,several,urban
edible,convex,fibrous,brown,none,soletary,urban
edible,bell,smooth,white,anise,scattered,grasses
edible,convex,scaly,yellow,almond,scattered,grasses
edible,convex,scaly,yellow,anise,numerous,meadows
edible,convex,smooth,brown,none,abundant,grasses
edible,convex,smooth,white,almond,scattered,grasses
edible,flat,scaly,brown,anise,scattered,grasses
edible,convex,smooth,yellow,almond,numerous,grasses
edible,bell,smooth,white,almond,scattered,grasses
edible,convex,scaly,white,almond,scattered,grasses
edible,convex,fibrous,brown,none,scattered,grasses
edible,bell,smooth,yellow,anise,numerous,grasses
edible,flat,scaly,yellow,anise,scattered,grasses
edible,convex,scaly,yellow,almond,soletary,paths
edible,bell,scaly,white,anise,numerous,grasses
edible,convex,scaly,yellow,almond,numerous,meadows
edible,convex,scaly,yellow,almond,soletary,grasses
edible,bell,scaly,white,anise,scattered,meadows
edible,bell,scaly,white,almond,scattered,meadows
edible,convex,smooth,yellow,almond,numerous,meadows
edible,convex,smooth,yellow,anise,numerous,grasses
edible,sunken,fibrous,gray,none,soletary,urban
edible,convex,fibrous,white,almond,several,woods
edible,convex,smooth,yellow,almond,numerous,meadows
poisonous,convex,scaly,white,pungent,several,urban
edible,convex,scaly,yellow,anise,scattered,grasses
edible,sunken,fibrous,gray,none,soletary,urban
edible,convex,scaly,yellow,anise,soletary,grasses
edible,convex,smooth,yellow,anise,several,woods
edible,sunken,fibrous,brown,none,soletary,urban
poisonous,convex,smooth,white,pungent,several,grasses
edible,convex,scaly,white,almond,numerous,meadows
poisonous,flat,scaly,brown,pungent,several,grasses
edible,flat,smooth,gray,none,abundant,grasses
edible,convex,smooth,yellow,anise,scattered,meadows
edible,convex,smooth,white,none,scattered,grasses
edible,bell,smooth,yellow,almond,numerous,grasses
edible,flat,fibrous,gray,none,abundant,grasses
edible,convex,smooth,white,anise,numerous,grasses
edible,bell,smooth,white,anise,scattered,meadows
edible,bell,smooth,white,anise,scattered,grasses
edible,bell,scaly,white,anise,scattered,meadows
edible,flat,smooth,white,anise,several,woods
edible,convex,scaly,yellow,anise,scattered,meadows
edible,flat,smooth,white,almond,several,woods
poisonous,convex,scaly,white,pungent,several,urban
edible,flat,fibrous,white,anise,several,woods
edible,convex,scaly,yellow,almond,scattered,grasses
poisonous,convex,smooth,brown,pungent,several,grasses
edible,bell,smooth,yellow,anise,numerous,grasses
edible,convex,scaly,brown,almond,soletary,paths
edible,bell,scaly,yellow,anise,numerous,meadows
edible,sunken,fibrous,brown,none,several,urban
edible,flat,scaly,brown,almond,soletary,paths
edible,convex,scaly,yellow,almond,numerous,grasses
edible,convex,fibrous,gray,none,scattered,grasses
edible,flat,fibrous,white,none,abundant,grasses
edible,convex,scaly,yellow,anise,numerous,meadows
