Date,Index
"September 7, 2007",1453.55
"September 14, 2007",1484.25
"September 21, 2007",1525.75
"September 28, 2007",1526.75
"October 5, 2007",1557.59
"October 9, 2007",1565.15
"October 12, 2007",1561.80
"October 19, 2007",1500.63
"October 26, 2007",1535.28
"November 2, 2007",1509.65
"November 9, 2007",1453.70
"November 16, 2007",1458.74
"November 23, 2007",1440.70
"November 30, 2007",1481.14
"December 7, 2007",1504.66
"December 14, 2007",1467.95
"December 21, 2007",1484.46
"December 28, 2007",1478.49
"December 31, 2007",1468.36
"January 4, 2008",1411.63
"January 11, 2008",1401.02
"January 18, 2008",1325.19
"January 25, 2008",1330.61
"February 1, 2008",1395.42
"February 8, 2008",1331.29
"February 15, 2008",1349.99
"February 22, 2008",1353.11
"February 29, 2008",1330.63
"March 7, 2008",1293.37
"March 14, 2008",1288.14
"March 21, 2008",1329.51
"March 28, 2008",1315.22
"April 4, 2008",1370.40
"April 11, 2008",1332.83
"April 18, 2008",1390.33
"April 25, 2008",1397.84
"May 2, 2008",1413.90
"May 9, 2008",1388.28
"May 16, 2008",1425.35
"May 23, 2008",1375.93
"May 30, 2008",1400.38
"June 6, 2008",1360.68
"June 13, 2008",1360.03
"June 20, 2008",1317.93
"June 27, 2008",1278.38
"July 4, 2008",1262.90
"July 11, 2008",1239.49
"July 18, 2008",1260.68
"July 25, 2008",1257.76
"August 1, 2008",1260.31
"August 8, 2008",1296.32
"August 15, 2008",1298.20
"August 22, 2008",1292.20
"August 29, 2008",1282.83
"September 5, 2008",1242.31
"September 12, 2008",1251.70
"September 19, 2008",1255.08
"September 26, 2008",1213.01
"October 3, 2008",1099.23
"October 10, 2008",899.22
"October 17, 2008",940.55
"October 24, 2008",876.77
"October 31, 2008",968.75
"November 7, 2008",930.99
"November 14, 2008",873.29
"November 21, 2008",800.03
"November 28, 2008",896.24
"December 5, 2008",876.07
"December 12, 2008",879.73
"December 19, 2008",887.88
"December 26, 2008",872.80
"December 31, 2008",903.25
"January 2, 2009",931.80
"January 9, 2009",890.35
"January 16, 2009",850.12
"January 23, 2009",831.95
"January 30, 2009",825.88
"February 6, 2009",868.60
"February 13, 2009",826.84
"February 20, 2009",770.05
"February 27, 2009",735.09
"March 6, 2009",683.38
"March 9, 2009",676.53
"March 13, 2009",756.55
"March 20, 2009",768.54
"March 27, 2009",815.94
"April 3, 2009",842.50
"April 10, 2009",856.56
"April 17, 2009",869.60
"April 24, 2009",866.23
"May 1, 2009",877.52
"May 8, 2009",929.23
"May 15, 2009",882.88
"May 22, 2009",887.00
"May 29, 2009",919.14
"June 5, 2009",940.09
"June 12, 2009",946.21
"June 19, 2009",921.23
"June 26, 2009",918.90
"July 2, 2009",896.42
"July 10, 2009",879.13
"July 17, 2009",940.38
"July 24, 2009",979.26
"July 31, 2009",987.48
"August 7, 2009",1010.48
"August 14, 2009",1004.09
"August 21, 2009",1026.13
"August 28, 2009",1028.93
