fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5
5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5
6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7
7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7
8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4
6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6
7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6
7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6
8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,7
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,6
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6
6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,6
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,5
6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7
6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,6
5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,6
6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,6
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6
5.8,0.3,0.42,1.1,0.036,19,113,0.98871,3.1,0.46,12.6,7
6.3,0.22,0.34,5,0.032,36,93,0.99012,3.27,0.36,13.5,7
6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6,7
6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,7
